Date,Adj. Open,Adj. Close,S&P Open,Adj. High,Adj. Low,Adj. Volume,S&P Adj. Close
2013-10-11,3.78,3.83,17384600.0,3.85,3.75,1691.089966,1703.199951
2013-10-14,3.87,3.97,63648400.0,4.05,3.85,1699.859985,1710.140015
2013-10-15,4.03,4.02,52027500.0,4.1,4.01,1709.170044,1698.060059
2013-10-16,4.1,4.09,34138300.0,4.1,4.03,1700.48999,1721.540039
2013-10-17,4.12,4.09,45838000.0,4.13,4.06,1720.170044,1733.150024
2013-10-18,3.56,3.53,108913700.0,3.66,3.51,1736.719971,1744.5
2013-10-21,3.56,3.37,68891000.0,3.56,3.3,1745.199951,1744.660034
2013-10-22,3.32,3.18,92506500.0,3.34,3.12,1746.47998,1754.670044
2013-10-23,3.2,3.14,65948000.0,3.25,3.04,1752.27002,1746.380005
2013-10-24,3.21,3.23,43033200.0,3.3,3.16,1747.47998,1752.069946
2013-10-25,3.29,3.34,43346300.0,3.39,3.29,1756.01001,1759.77002
2013-10-28,3.38,3.32,23820500.0,3.39,3.32,1759.420044,1762.109985
2013-10-29,3.34,3.33,15816500.0,3.37,3.32,1762.930054,1771.949951
2013-10-30,3.35,3.3,16208000.0,3.36,3.3,1772.27002,1763.310059
2013-10-31,3.31,3.34,18062700.0,3.35,3.25,1763.23999,1756.540039
2013-11-01,3.37,3.31,14422000.0,3.37,3.3,1758.699951,1761.640015
2013-11-04,3.34,3.32,16749400.0,3.38,3.29,1763.400024,1767.930054
2013-11-05,3.32,3.33,14003100.0,3.35,3.29,1765.670044,1762.969971
2013-11-06,3.33,3.32,15065300.0,3.35,3.3,1765.0,1770.48999
2013-11-07,3.33,3.28,18856200.0,3.33,3.23,1770.73999,1747.150024
2013-11-08,3.26,3.27,12072000.0,3.29,3.2,1748.369995,1770.609985
2013-11-11,3.29,3.34,12981500.0,3.34,3.25,1769.959961,1771.890015
2013-11-12,3.34,3.44,20185800.0,3.45,3.33,1769.51001,1767.689941
2013-11-13,3.5,3.54,28914000.0,3.55,3.46,1764.369995,1782.0
2013-11-14,3.55,3.52,15123200.0,3.57,3.47,1782.75,1790.619995
2013-11-15,3.53,3.5,11570800.0,3.53,3.48,1790.660034,1798.180054
2013-11-18,3.53,3.47,13170900.0,3.54,3.47,1798.819946,1791.530029
2013-11-19,3.46,3.42,20169800.0,3.48,3.36,1790.790039,1787.869995
2013-11-20,3.44,3.42,9937400.0,3.46,3.4,1789.589966,1781.369995
2013-11-21,3.43,3.37,13646200.0,3.44,3.35,1783.52002,1795.849976
2013-11-22,3.38,3.34,11315300.0,3.39,3.33,1797.209961,1804.76001
2013-11-25,3.36,3.39,11605400.0,3.4,3.34,1806.329956,1802.47998
2013-11-26,3.42,3.45,16989300.0,3.48,3.4,1802.869995,1802.75
2013-11-27,3.48,3.56,19876400.0,3.58,3.46,1803.47998,1807.22998
2013-11-29,3.6,3.64,15448400.0,3.68,3.58,1808.689941,1805.810059
2013-12-02,3.65,3.66,24119700.0,3.7,3.56,1806.550049,1800.900024
2013-12-03,3.64,3.62,23323200.0,3.71,3.58,1800.099976,1795.150024
2013-12-04,3.57,3.57,21609700.0,3.63,3.48,1793.150024,1792.810059
2013-12-05,3.56,3.64,14465700.0,3.65,3.55,1792.819946,1785.030029
2013-12-06,3.67,3.66,15825300.0,3.7,3.63,1788.359985,1805.089966
2013-12-09,3.66,3.63,10470700.0,3.7,3.63,1806.209961,1808.369995
2013-12-10,3.63,3.72,29571500.0,3.78,3.6,1807.599976,1802.619995
2013-12-11,3.74,3.68,13436700.0,3.77,3.66,1802.76001,1782.219971
2013-12-12,3.68,3.69,10013900.0,3.75,3.65,1781.709961,1775.5
2013-12-13,3.7,3.69,9074200.0,3.72,3.65,1777.97998,1775.319946
2013-12-16,3.64,3.59,22228600.0,3.66,3.51,1777.47998,1786.540039
2013-12-17,3.6,3.65,14836400.0,3.67,3.58,1786.469971,1781.0
2013-12-18,3.64,3.65,12658100.0,3.67,3.6,1781.459961,1810.650024
2013-12-19,3.64,3.65,10419000.0,3.68,3.6,1809.0,1809.599976
2013-12-20,3.64,3.69,12762700.0,3.7,3.64,1810.390015,1818.319946
2013-12-23,3.74,3.75,14531000.0,3.78,3.72,1822.920044,1827.98999
2013-12-24,3.77,3.77,5798900.0,3.8,3.75,1828.02002,1833.319946
2013-12-26,3.8,3.8,9887600.0,3.85,3.79,1834.959961,1842.02002
2013-12-27,3.82,3.78,8248800.0,3.83,3.76,1842.969971,1841.400024
2013-12-30,3.79,3.85,17519300.0,3.88,3.78,1841.469971,1841.069946
2013-12-31,3.87,3.87,12347800.0,3.88,3.83,1842.609985,1848.359985
2014-01-02,3.85,3.95,20548400.0,3.98,3.84,1845.859985,1831.97998
2014-01-03,3.98,4.0,22887200.0,4.0,3.88,1833.209961,1831.369995
2014-01-06,4.01,4.13,42398300.0,4.18,3.99,1832.310059,1826.77002
2014-01-07,4.19,4.18,42932100.0,4.25,4.11,1828.709961,1837.880005
2014-01-08,4.23,4.18,30678700.0,4.26,4.14,1837.900024,1837.48999
2014-01-09,4.2,4.09,30667600.0,4.23,4.05,1839.0,1838.130005
2014-01-10,4.09,4.17,20840800.0,4.2,4.07,1840.060059,1842.369995
2014-01-13,4.19,4.13,22856100.0,4.2,4.09,1841.26001,1819.199951
2014-01-14,4.14,4.3,42434800.0,4.3,4.13,1821.359985,1838.880005
2014-01-15,4.34,4.47,66613100.0,4.6,4.32,1840.52002,1848.380005
2014-01-16,4.5,4.38,46975600.0,4.51,4.32,1847.98999,1845.890015
2014-01-17,4.15,4.18,45842700.0,4.35,4.11,1844.22998,1838.699951
2014-01-21,4.31,4.17,58702900.0,4.34,4.13,1841.050049,1843.800049
2014-01-22,3.79,3.67,86329500.0,3.82,3.66,1844.709961,1844.859985
2014-01-23,3.67,3.62,29844700.0,3.68,3.58,1842.290039,1828.459961
2014-01-24,3.6,3.47,48095800.0,3.61,3.41,1826.959961,1790.290039
2014-01-27,3.48,3.41,31332300.0,3.49,3.35,1791.030029,1781.560059
2014-01-28,3.43,3.54,27962600.0,3.57,3.41,1783.0,1792.5
